epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,17705.1,0.68578,0.37302,0.8698,0.60089,0.6099,0.61394,0.46556,1.07255,1.0731,1.02591,0.002674,0.002674,0.002674
76,17938.4,0.68462,0.37183,0.87009,0.59366,0.60004,0.60662,0.45944,1.07677,1.08583,1.02765,0.002575,0.002575,0.002575
77,18171.3,0.68036,0.369,0.86944,0.60247,0.59653,0.6049,0.45813,1.07677,1.07048,1.02766,0.002476,0.002476,0.002476
78,18406.1,0.67925,0.3681,0.86783,0.60713,0.58933,0.60122,0.45508,1.07913,1.09428,1.02746,0.002377,0.002377,0.002377
79,18641.3,0.67705,0.36428,0.86873,0.60798,0.58873,0.59958,0.45408,1.07911,1.10303,1.02787,0.002278,0.002278,0.002278
80,18873.7,0.67553,0.36402,0.86685,0.62861,0.58129,0.60398,0.45792,1.07606,1.09368,1.02551,0.002179,0.002179,0.002179
81,19106.9,0.67137,0.36159,0.86684,0.61947,0.58318,0.59978,0.45503,1.07315,1.09027,1.02415,0.00208,0.00208,0.00208
82,19341.4,0.67285,0.35932,0.86748,0.62887,0.5819,0.60273,0.45759,1.07187,1.09671,1.02435,0.001981,0.001981,0.001981
83,19573.7,0.67062,0.35805,0.86602,0.61853,0.58222,0.60138,0.45548,1.07399,1.10678,1.0249,0.001882,0.001882,0.001882
84,19805.6,0.66876,0.35739,0.86524,0.61706,0.59314,0.603,0.45499,1.0783,1.10395,1.02617,0.001783,0.001783,0.001783
85,20039.6,0.66676,0.35527,0.86404,0.60879,0.60055,0.60427,0.45549,1.0789,1.10157,1.0261,0.001684,0.001684,0.001684
86,20274.5,0.66564,0.35259,0.86445,0.60581,0.60067,0.60368,0.45546,1.07703,1.09426,1.02484,0.001585,0.001585,0.001585
87,20506.4,0.66411,0.35252,0.86439,0.60018,0.5994,0.60451,0.45609,1.07713,1.09225,1.02473,0.001486,0.001486,0.001486
88,20735.9,0.66335,0.34984,0.86457,0.60662,0.59665,0.60519,0.45689,1.07955,1.09963,1.0261,0.001387,0.001387,0.001387
89,20998.2,0.65967,0.34747,0.86323,0.6098,0.59739,0.60543,0.45641,1.08073,1.09786,1.02694,0.001288,0.001288,0.001288
90,21226.6,0.65736,0.34521,0.86365,0.61171,0.60178,0.60681,0.457,1.08288,1.09715,1.02812,0.001189,0.001189,0.001189
91,21449,0.64884,0.32264,0.85286,0.59891,0.60101,0.60163,0.45295,1.08284,1.10359,1.02838,0.00109,0.00109,0.00109
92,21671.4,0.64055,0.31829,0.85088,0.5877,0.59411,0.59773,0.45003,1.08458,1.11597,1.02962,0.000991,0.000991,0.000991
93,21896.2,0.63861,0.31476,0.8497,0.57676,0.59087,0.59432,0.44798,1.08559,1.12287,1.03068,0.000892,0.000892,0.000892
94,22120.9,0.63525,0.31222,0.84787,0.57039,0.59071,0.5919,0.44583,1.08719,1.1264,1.03054,0.000793,0.000793,0.000793
95,22347.2,0.63192,0.31066,0.84735,0.56643,0.59114,0.5908,0.44475,1.08997,1.13171,1.03156,0.000694,0.000694,0.000694
96,22571.6,0.63066,0.30832,0.84736,0.56265,0.58755,0.59085,0.44404,1.09151,1.13468,1.03218,0.000595,0.000595,0.000595
97,22795.5,0.62722,0.30586,0.84521,0.55993,0.58711,0.58989,0.44308,1.09368,1.13851,1.03287,0.000496,0.000496,0.000496
98,23020.2,0.62537,0.30339,0.84436,0.55863,0.58626,0.58764,0.44143,1.09464,1.14288,1.03345,0.000397,0.000397,0.000397
99,23244,0.6225,0.30039,0.84484,0.55894,0.58558,0.5862,0.44023,1.09573,1.14797,1.034,0.000298,0.000298,0.000298
100,23468.1,0.61988,0.29832,0.84584,0.55796,0.58671,0.58489,0.4394,1.09646,1.15305,1.03447,0.000199,0.000199,0.000199
